Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,R43,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R44,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R45,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R46,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R47,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R48,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R49,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R5,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R50,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R51,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R52,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R53,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R54,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R55,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R56,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R57,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R58,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R59,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R6,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R60,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R61,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R62,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R63,100k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R64,56k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R65,226k_1%,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R66,226k_1%,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R67,510k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R68,510k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R69,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R7,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R70,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R71,220R,device:R,Duo_Audio_HMI_RC1A:SM0805,
